Days,Relation
775,8.7873
776,8.8164
777,8.8983
778,8.8818
779,8.7958
780,8.7803
781,8.7619
782,8.8252
783,8.836
784,8.8808
785,8.9609
786,9.0463
787,9.0375
788,8.9815
789,8.8803
790,8.8967
791,8.8929
792,8.9123
793,8.8927
794,8.9252
795,8.9537
796,9.0407
797,9.0228
798,8.9852
799,8.9375
800,8.9863
801,8.9497
802,8.9694
803,8.9558
804,8.9242
805,8.9432
806,8.9535
807,8.9025
808,8.8548
809,8.8535
810,8.8393
811,8.8218
812,8.7896
813,8.8033
814,8.8721
815,8.8647
816,8.867
817,8.893
818,8.8861
819,8.9178
820,8.9008
821,8.9215
822,8.9545
823,8.9648
824,9.0062
825,9.0255
826,9.0187
827,9.1253
828,9.2016
829,9.1762
830,9.2325
831,9.1812
832,9.3018
833,9.2302
834,9.1873
835,9.3134
836,9.69
837,9.6458
838,9.6001
839,9.815
840,9.96
841,10.0275
842,9.9717
843,9.9458
844,10.1072
845,10.1618
846,10.1967
847,10.2742
848,10.3499
849,10.5325
850,10.5792
851,10.5233
852,10.2058
853,10.3158
854,10.1383
855,10.305
856,10.0962
857,10.1159
858,10.1117
859,10.2438
860,10.1062
861,10.1119
862,10.1933
863,10.3137
864,10.3137
865,10.218
866,10.1729
867,10.1835
868,10.3549
869,10.2157
870,10.1555
871,10.1863
872,10.18
873,10.1312
874,10.0933
875,10.0863
876,10.042
877,10.0338
878,9.993
879,10.0353
880,10.0293
881,10.149
882,10.1575
883,10.2198
884,10.1137
885,10.0312
886,9.9365
887,9.9886
888,9.9717
889,10.0015
890,10.0256
891,10.006
892,10.0563
893,9.9965
894,9.9765
895,9.944
896,9.9305
897,9.9203
898,9.8772
899,9.9145
900,9.9107
901,9.9404
902,9.9676
903,9.9995
904,10.0318
905,9.9682
906,9.9876
907,9.9897
908,9.9993
909,9.9423
910,9.9517
911,9.95
912,9.9482
913,9.9491
914,9.9498
915,9.8828
916,9.7863
917,9.7972
918,9.7568
919,9.8028
920,9.8104
921,9.8822
922,9.8382
923,9.865
924,9.9395
925,9.8963
926,9.8376
927,9.7921
928,9.7755
929,9.8527
930,9.8091
931,9.9394
932,10.0848
933,10.6
934,10.5383
935,10.3485
936,10.2258
937,10.2783
938,10.178
939,10.2874
940,10.2017
941,10.2242
942,10.2252
943,10.1745
944,10.1752
945,10.1543
946,10.0986
947,10.0823
948,10.1138
949,10.1217
950,10.0821
951,10.0764
952,10.0606
953,9.9793
954,9.9486
955,9.9315
956,9.919
957,9.9043
958,9.8809
959,9.9333
960,9.9315
961,9.9565
962,9.9357
963,9.9836
964,9.9441
965,9.9072
966,9.9528
967,9.9641
968,9.9334
969,9.8732
970,9.8434
971,9.7927
972,9.8012
973,9.748
974,9.7527
975,9.7053
976,9.6587
977,9.6888
978,9.6462
979,9.6675
980,9.7116
981,9.6723
982,9.6917
983,9.6454
984,9.5954
985,9.5158
986,9.5376
987,9.5218
988,9.4818
989,9.4846
990,9.4968
991,9.4771
992,9.5728
993,9.5569
994,9.5058
995,9.5085
996,9.543
997,9.5237
998,9.3831
999,9.4077
1000,9.3643
1001,9.3317
1002,9.3005
1003,9.3084
1004,9.3285
1005,9.2871
1006,9.2622
1007,9.2447
1008,9.2689
1009,9.2749
1010,9.333
1011,9.348
1012,9.2992
1013,9.2533
1014,9.3247
1015,9.2698
1016,9.3591
1017,9.3663
1018,9.2983
1019,9.3086
1020,9.3242
1021,9.3589
1022,9.3845
1023,9.5468
1024,9.6715
1025,9.7498
1026,9.7833
1027,9.6872
1028,9.8156
1029,9.7653
1030,9.6545
1031,9.6272
1032,9.5045
1033,9.4879
1034,9.5817
1035,9.5985
1036,9.5452
1037,9.5767
1038,9.5018
1039,9.4585
1040,9.4038
1041,9.355
1042,9.3781
1043,9.3717
1044,9.4038
1045,9.459
1046,9.4717
1047,9.4875
1048,9.4165
1049,9.4409
1050,9.3773
1051,9.3513
1052,9.3167
1053,9.3314
1054,9.3637
1055,9.3303
1056,9.3523
1057,9.4358
1058,9.459
1059,9.3388
1060,9.3343
1061,9.3563
1062,9.3008
1063,9.3013
1064,9.3348
1065,9.3746
1066,9.3856
1067,9.4235
1068,9.368
1069,9.3827
1070,9.426
1071,9.401
1072,9.4058
1073,9.4552
1074,9.4364
1075,9.5097
1076,9.4962
1077,9.4874
1078,9.5063
1079,9.415
1080,9.3533
1081,9.3883
1082,9.3568
1083,9.3332
1084,9.3218
1085,9.3745
1086,9.3868
1087,9.3435
1088,9.331
1089,9.3081
1090,9.3394
1091,9.3819
1092,9.4095
1093,9.385
1094,9.3739
1095,9.3382
1096,9.3462
1097,9.3497
1098,9.3578
1099,9.3471
1100,9.3174
1101,9.3192
1102,9.3323
1103,9.3092
1104,9.3712
1105,9.3223
1106,9.3044
1107,9.2858
1108,9.3055
1109,9.3565
1110,9.3158
1111,9.3582
1112,9.3565
1113,9.3483
1114,9.4063
1115,9.4531
1116,9.4758
1117,9.4323
1118,9.4598
1119,9.4682
1120,9.4507
1121,9.4675
1122,9.519
1123,9.6308
1124,9.7114
1125,9.7143
1126,9.6713
1127,9.6114
1128,9.6482
1129,9.603
1130,9.6374
1131,9.6299
1132,9.6504
1133,9.6357
1134,9.625
1135,9.6208
1136,9.5552
1137,9.4712
1138,9.4518
1139,9.4571
1140,9.4158
1141,9.4126
1142,9.3857
1143,9.3787
1144,9.3685
1145,9.4018
1146,9.3549
1147,9.346
1148,9.3288
1149,9.319
1150,9.3324
1151,9.3195
1152,9.2945
1153,9.355
1154,9.3737
1155,9.432
1156,9.4683
1157,9.5326
1158,9.4942
1159,9.4562
1160,9.4416
1161,9.4755
1162,9.4288
1163,9.4143
1164,9.4143
1165,9.411
1166,9.379
1167,9.3578
1168,9.3298
1169,9.3338
1170,9.3142
1171,9.3095
1172,9.3695
1173,9.4188
1174,9.4632
1175,9.5143
1176,9.5222
1177,9.4986
1178,9.3949
1179,9.4564
1180,9.5455
1181,9.5705
1182,9.515
1183,9.4464
1184,9.478
1185,9.5352
1186,9.5057
1187,9.4483
1188,9.4172
1189,9.4383
1190,9.4086
1191,9.4038
1192,9.4463
1193,9.4838
1194,9.5288
1195,9.5103
1196,9.5123
1197,9.5727
1198,9.6253
1199,9.5956
1200,9.5724
1201,9.5011
1202,9.4803
1203,9.4327
1204,9.4018
1205,9.3998
1206,9.4348
1207,9.4212
1208,9.3988
1209,9.388
1210,9.371
1211,9.3905
1212,9.3592
1213,9.4108
1214,9.4395
1215,9.4067
1216,9.3798
1217,9.3748
1218,9.4033
1219,9.3662
1220,9.3633
1221,9.3382
1222,9.3115
1223,9.3215
1224,9.3009
1225,9.2662
1226,9.2837
1227,9.3125
1228,9.3338
1229,9.3127
1230,9.3436
1231,9.3224
1232,9.3255
1233,9.3185
1234,9.2765
1235,9.2398
1236,9.1712
1237,9.1775
1238,9.1883
1239,9.2331
1240,9.3015
1241,9.2845
1242,9.2761
1243,9.2878
1244,9.3835
1245,9.3535
1246,9.3218
1247,9.2868
1248,9.3918
1249,9.3965
1250,9.3988
1251,9.4842
1252,9.4882
1253,9.4388
1254,9.3939
1255,9.4443
1256,9.4078
1257,9.4073
1258,9.4521
1259,9.4127
1260,9.3374
1261,9.3848
1262,9.3928
1263,9.4918
1264,9.4855
1265,9.5702
1266,9.5768
1267,9.5661
1268,9.582
1269,9.5088
1270,9.5451
1271,9.5751
1272,9.615
1273,9.5778
1274,9.509
1275,9.5328
1276,9.494
1277,9.5274
1278,9.5326
1279,9.516
1280,9.511
1281,9.4988
1282,9.5461
1283,9.5442
1284,9.657
1285,9.7942
1286,9.8519
1287,9.9263
1288,9.8546
1289,9.7645
1290,9.7879
1291,9.8478
1292,9.9243
1293,9.9031
1294,9.8644
1295,9.8568
1296,9.8707
1297,9.9805
1298,10.0197
1299,10.0787
1300,9.9538
1301,9.9003
1302,9.8243
1303,9.5461
1304,9.4876
1305,9.5384
1306,9.546
1307,9.5195
1308,9.5023
1309,9.428
1310,9.4748
1311,9.4368
1312,9.4152
1313,9.3491
1314,9.3327
1315,9.4118
1316,9.3608
1317,9.3485
1318,9.3337
1319,9.3657
1320,9.3627
1321,9.361
1322,9.3578
1323,9.3667
1324,9.3428
1325,9.3462
1326,9.3881
1327,9.3574
1328,9.3353
1329,9.3353
1330,9.326
1331,9.3198
1332,9.2918
1333,9.2516
1334,9.2504
1335,9.1923
1336,9.1873
1337,9.2293
1338,9.2563
1339,9.2322
1340,9.2773
1341,9.2268
1342,9.2342
1343,9.2093
1344,9.2317
1345,9.2108
1346,9.1995
1347,9.2014
1348,9.2231
1349,9.2612
1350,9.3115
1351,9.3141
1352,9.3243
1353,9.2814
1354,9.2542
1355,9.286
1356,9.3125
1357,9.3517
1358,9.4172
1359,9.425
1360,9.4483
1361,9.4347
1362,9.479
1363,9.4218
1364,9.4032
1365,9.4088
1366,9.429
1367,9.4459
1368,9.4142
1369,9.4014
1370,9.4292
1371,9.4515
1372,9.46
1373,9.4753
1374,9.4632
1375,9.479
1376,9.5193
1377,9.5879
1378,9.5351
1379,9.5443
1380,9.5765
1381,9.5333
1382,9.5605
1383,9.5736
1384,9.5757
1385,9.6242
1386,9.6777
1387,9.6443
1388,9.5995
1389,9.5642
1390,9.5824
1391,9.599
1392,9.6438
